title,author,description,year,url,tags,added
AI engineering: building applications with foundation models,Chip Huyen,,2025,,AI; Books,2025-12-18T12:04:02Z
The status game,Will Storr,,2021,,Books,2025-12-26T09:42:29Z
Kolmogorov Complexity and Algorithmic Randomness,"A. Shen, V. Uspensky, N. Vereshchagin",,2017,https://doi.org/10.1090/surv/220,AI,2025-12-18T12:32:36Z
Computer systems: a programmer's perspective,"Randal E. Bryant, David Richard O'Hallaron","""Computer Systems: A Programmer's Perspective, Second Edition, introduces the important and enduring concepts that underlie computer systems by showing how these ideas affect the correctness, performance, and utility of application programs. Other systems books, written from a builder's…",2011,,Books,2025-12-29T10:16:47Z
